iter	Passed	Remaining
405	7859	1819
406	7885	1801
407	7915	1784
408	7943	1767
409	7976	1750
410	8007	1733
411	8031	1715
412	8063	1698
413	8093	1681
414	8117	1662
415	8147	1645
416	8171	1626
417	8193	1607
418	8214	1588
419	8236	1568
420	8257	1549
421	8280	1530
422	8303	1511
423	8324	1492
424	8345	1472
425	8370	1453
426	8390	1434
427	8411	1415
428	8433	1395
429	8456	1376
430	8477	1357
431	8496	1337
432	8517	1317
433	8535	1297
434	8552	1278
435	8572	1258
436	8595	1239
437	8619	1220
438	8640	1200
439	8656	1180
440	8674	1160
441	8699	1141
442	8715	1121
443	8731	1101
444	8746	1081
445	8761	1060
446	8776	1040
447	8796	1020
448	8809	1000
449	8825	980
450	8841	960
451	8861	941
452	8878	921
453	8896	901
454	8909	881
455	8922	860
456	8937	840
457	8951	820
458	8966	800
459	8983	781
460	9000	761
461	9014	741
462	9030	721
463	9045	701
464	9061	682
465	9076	662
466	9098	642
467	9115	623
468	9129	603
469	9144	583
470	9159	563
471	9174	544
472	9187	524
473	9207	505
474	9219	485
475	9234	465
476	9250	446
477	9264	426
478	9279	406
479	9294	387
480	9311	367
481	9325	348
482	9341	328
483	9356	309
484	9371	289
485	9386	270
486	9405	251
487	9419	231
488	9432	212
489	9447	192
490	9462	173
491	9478	154
492	9495	134
493	9518	115
494	9531	96
495	9546	76
496	9561	57
497	9577	38
498	9592	19
499	9610	0
