iter	Logloss
231	0.5167619484
232	0.516661131
233	0.5165839818
234	0.5164803432
235	0.5163900375
236	0.516315479
237	0.5162259329
238	0.5161461524
239	0.5160762055
240	0.5159829294
241	0.5159141083
242	0.5158362539
243	0.5157591997
244	0.5156807485
245	0.5155925858
246	0.5155205366
247	0.5154382333
248	0.5153639597
249	0.5152627489
250	0.5151995566
251	0.5151370968
252	0.5150933138
253	0.5150293891
254	0.5149578146
255	0.5148905397
256	0.5148008714
257	0.5147275201
258	0.514663202
259	0.5145781183
260	0.5144789963
261	0.5144084255
262	0.514362703
263	0.5142956993
264	0.5142277734
265	0.514165205
266	0.5140833358
267	0.514004437
268	0.5139423976
269	0.5138719488
270	0.5138156061
271	0.5137576765
272	0.5137083732
273	0.5136424004
274	0.513575234
275	0.5135077828
276	0.5134461503
277	0.5133703168
278	0.5132824661
279	0.5132129532
280	0.5131131531
281	0.513055671
282	0.5130132173
283	0.5129622321
284	0.512911993
285	0.5128452471
286	0.5127907625
287	0.5127290215
288	0.5126668736
289	0.512606177
290	0.5125412486
291	0.5124802265
292	0.5124207641
293	0.5123773067
294	0.5123247482
295	0.5122723253
296	0.5121965732
297	0.5121144328
298	0.5120386129
299	0.5119813614
300	0.5119369545
301	0.5118579743
302	0.5117934528
303	0.5117557463
304	0.5116993493
305	0.5116399684
306	0.5115988846
307	0.5115266183
308	0.5114466344
309	0.5113922991
310	0.5113469699
311	0.5112782844
312	0.5112116741
313	0.5111362611
314	0.5110679418
315	0.5110203883
316	0.5109723328
317	0.5109278853
318	0.5108673514
319	0.5107992491
320	0.5107573108
321	0.5106866179
322	0.5106298819
323	0.5105747056
324	0.5105252938
325	0.5104749733
326	0.5104218858
327	0.5103609179
328	0.5103013742
329	0.5102600734
330	0.5101887566
331	0.5101287381
332	0.5100821204
333	0.5100218578
334	0.5099660034
335	0.5098772982
336	0.5098064018
337	0.5097555794
338	0.5097061676
339	0.5096386215
340	0.5095918953
341	0.5095498213
342	0.5094997178
343	0.5094150274
344	0.5093552395
345	0.5092955059
346	0.5092510584
347	0.509175564
348	0.5091278341
349	0.5090577787
350	0.509003796
351	0.5089513595
352	0.508916637
353	0.50884688
354	0.5088001809
355	0.5087340996
356	0.5086862476
357	0.5086295929
358	0.5085686929
359	0.5085040628
360	0.508471524
361	0.5084306979
362	0.5083950124
363	0.5083440951
364	0.5083012887
365	0.5082480656
366	0.5082006612
367	0.5081332235
368	0.5080917871
369	0.5080479363
370	0.5080048044
371	0.5079621337
372	0.5079167502
373	0.5078407676
374	0.5077955605
375	0.5077491055
376	0.5076910267
377	0.5076417776
378	0.5075906569
379	0.5075298789
380	0.5074919282
381	0.5074436965
382	0.5073859296
383	0.5073486978
384	0.5073034364
385	0.5072731356
386	0.5072353477
387	0.5071776487
388	0.5071151617
389	0.5070606093
390	0.5070258732
391	0.5069566859
392	0.5069278363
393	0.5068760238
394	0.5068358216
395	0.5067893396
396	0.5067555529
397	0.5067296195
398	0.506674294
399	0.5066390561
400	0.5065625987
401	0.5065224372
402	0.5064755347
403	0.506411081
404	0.5063571254
405	0.5062971613
406	0.5062393266
407	0.5061565893
408	0.5061126707
409	0.5060670838
410	0.5060071875
411	0.5059795179
412	0.5059274206
413	0.5058802468
414	0.5058364231
415	0.5057992456
416	0.505729136
417	0.5056756144
418	0.5056614135
419	0.5056184443
420	0.5055856614
421	0.5055599179
422	0.5055102619
423	0.5055008353
424	0.5054502571
425	0.5054190746
426	0.5053675741
427	0.5053284027
428	0.5052790316
429	0.50524515
430	0.5052013671
431	0.5051672142
432	0.5051271341
433	0.5050824017
434	0.5050569702
435	0.5050040454
436	0.5049525178
437	0.5048865043
438	0.5048399544
439	0.5047877214
440	0.5047348645
441	0.5046891148
442	0.5046570372
443	0.5046003011
444	0.5045441754
445	0.5045237488
446	0.504476792
447	0.5044622519
448	0.5044336601
449	0.5043896601
450	0.5043398007
451	0.5042884901
452	0.5042312928
453	0.5041943866
454	0.5041401055
455	0.5041115544
456	0.5040548183
457	0.504003589
458	0.5039651908
459	0.5038894658
460	0.50386162
461	0.5037912797
462	0.5037548889
463	0.5036841282
464	0.5036519149
465	0.5036138964
466	0.5035872984
467	0.503534333
468	0.5035017128
469	0.5034658238
470	0.5034295686
471	0.503379343
472	0.5033439423
473	0.5032790953
474	0.5032474517
475	0.5032039807
476	0.5031582311
477	0.5031258686
478	0.5030867243
479	0.5030576985
480	0.5030221757
481	0.5029899353
482	0.5029438873
483	0.5028887517
484	0.5028371833
485	0.5028124977
486	0.5027772327
487	0.502712467
488	0.5026549985
489	0.5026100356
490	0.5025634992
491	0.5025063427
492	0.5024720678
493	0.5024190752
494	0.5023689988
495	0.5023447066
496	0.5023029718
497	0.5022725489
498	0.5022162739
499	0.5021814836
